timestamp_ms,gas,brake,distanceTraveled,speedKmh,normalizedCarPosition
1775570383880,1.0,0.0,7193.6064453125,154.69866943359375,6.772406050004065e-05
1775570383900,1.0,0.0,7194.3798828125,154.84991455078125,0.0003207393456250429
1775570383920,1.0,0.0,7195.28369140625,155.025634765625,0.00053745589684695
1775570272060,1.0,0.0,3592.21337890625,155.2398223876953,0.0008154201204888523
1775570272080,1.0,0.0,3593.3779296875,155.4129638671875,0.0011420401278883219
1775570272100,1.0,0.0,3594.155029296875,155.56385803222656,0.0013617674121633172
1775570272120,1.0,0.0,3594.803466796875,155.7308807373047,0.0015417719259858131
1775570272140,1.0,0.0,3595.84228515625,155.9272003173828,0.0018330889288336039
1775570272160,1.0,0.0,3596.75244140625,156.10968017578125,0.002087866887450218
1775570272180,1.0,0.0,3597.533203125,156.25759887695312,0.0023072545882314444
1775570272200,1.0,0.0,3598.44482421875,156.4331512451172,0.0025630074087530375
1775570272220,1.0,0.0,3599.22705078125,156.608642578125,0.002782324096187949
1775570272240,1.0,0.0,3600.01025390625,156.7540283203125,0.00303859100677073
1775570272260,1.0,0.0,3600.9248046875,156.9222869873047,0.0032584350556135178
1775570272280,1.0,0.0,3601.84033203125,157.11557006835938,0.0035152819473296404
1775570272300,1.0,0.0,3602.88818359375,157.2783966064453,0.0038092229515314102
1775570272320,1.0,0.0,3603.41259765625,157.4521026611328,0.003992960322648287
1775570272340,1.0,0.0,3604.59375,157.60897827148438,0.00428693788126111
1775570272360,1.0,0.0,3605.3818359375,157.75933837890625,0.004545400384813547
1775570272380,1.0,0.0,3606.302734375,157.94827270507812,0.004766663070768118
1775570272400,1.0,0.0,3607.0927734375,158.11740112304688,0.00502537377178669
1775570272420,1.0,0.0,3608.015380859375,158.2640380859375,0.00524692190811038
1775570272440,1.0,0.0,3608.806640625,158.4436492919922,0.0055056046694517136
1775570272460,1.0,0.0,3609.73095703125,158.60964965820312,0.005727567244321108
1775570272480,1.0,0.0,3610.524169921875,158.75706481933594,0.0059870402328670025
1775570272500,1.0,0.0,3611.45068359375,158.93402099609375,0.006210233084857464
1775570272520,1.0,0.0,3612.24560546875,159.1031951904297,0.006470108404755592
1775570272540,1.0,0.0,3613.173828125,159.25645446777344,0.006692880764603615
1775570272560,1.0,0.0,3614.36865234375,159.41726684570312,0.007028311491012573
1775570272580,1.0,0.0,3614.900390625,159.593994140625,0.007177192717790604
1775570272600,1.0,0.0,3616.09765625,159.7509002685547,0.007512769661843777
1775570272620,1.0,0.0,3616.63037109375,159.9202880859375,0.0076622567139565945
1775570272640,1.0,0.0,3617.82958984375,160.0782928466797,0.007998831570148468
1775570272660,1.0,0.0,3618.763427734375,160.19798278808594,0.008260383270680904
1775570272680,1.0,0.0,3619.564453125,160.355712890625,0.00848526693880558
1775570272700,1.0,0.0,3620.500244140625,160.53713989257812,0.008747671730816364
1775570272720,1.0,0.0,3621.30322265625,160.69068908691406,0.009010210633277893
1775570272740,1.0,0.0,3622.2412109375,160.88272094726562,0.009235712699592113
1775570272760,1.0,0.0,3623.179931640625,161.04562377929688,0.009499119594693184
1775570272780,1.0,0.0,3623.985595703125,161.19715881347656,0.00972492154687643
1775570272800,1.0,0.0,3624.926025390625,161.36614990234375,0.010040420107543468
1775570272820,1.0,0.0,3625.73291015625,161.52734375,0.010259052738547325
1775570272840,1.0,0.0,3626.67529296875,161.66038513183594,0.010265299119055271
1775570272860,1.0,0.0,3627.618896484375,161.8351593017578,0.010767783038318157
1775570272880,1.0,0.0,3628.428466796875,162.00648498535156,0.010995565913617611
1775570272900,1.0,0.0,3629.373779296875,162.15402221679688,0.011576107703149319
1775570272920,1.0,0.0,3630.320068359375,162.32293701171875,0.011576107703149319
1775570272940,1.0,0.0,3631.26708984375,162.48329162597656,0.01170111820101738
1775570272960,1.0,0.0,3632.079833984375,162.62669372558594,0.01203218661248684
1775570272980,1.0,0.0,3633.02880859375,162.80422973632812,0.012260250747203827
1775570273000,1.0,0.0,3633.978759765625,162.95884704589844,0.01252636220306158
1775570273020,1.0,0.0,3634.522216796875,163.10540771484375,0.012678926810622215
1775570273040,1.0,0.0,3635.74609375,163.2814178466797,0.013060174882411957
1775570273060,1.0,0.0,3636.8349609375,163.45819091796875,0.01328932773321867
1775570273080,1.0,0.0,3637.652587890625,163.58570861816406,0.013556485064327717
1775570273100,1.0,0.0,3638.607421875,163.72901916503906,0.013824224472045898
1775570273120,1.0,0.0,3639.1533203125,163.9130096435547,0.014015108346939087
1775570273140,1.0,0.0,3640.109619140625,164.05810546875,0.014245472848415375
1775570273160,1.0,0.0,3641.067138671875,164.22378540039062,0.014514491893351078
1775570273180,1.0,0.0,3642.025390625,164.38671875,0.014782666228711605
1775570273200,1.0,0.0,3642.84716796875,164.52207946777344,0.015051444061100483
1775570273220,1.0,0.0,3643.80712890625,164.69480895996094,0.015282263979315758
1775570273240,1.0,0.0,3644.767822265625,164.85507202148438,0.015589897520840168
1775570273260,1.0,0.0,3645.591796875,164.97817993164062,0.015821056440472603
1775570273280,1.0,0.0,3646.55419921875,165.1165771484375,0.01605248637497425
1775570273300,1.0,0.0,3647.3798828125,165.2767791748047,0.016322355717420578
1775570273320,1.0,0.0,3648.343994140625,165.42987060546875,0.016554417088627815
1775570273340,1.0,0.0,3649.447265625,165.60450744628906,0.016902713105082512
1775570273360,1.0,0.0,3650.552001953125,165.7593994140625,0.017134621739387512
1775570273380,1.0,0.0,3651.2431640625,165.92393493652344,0.017406173050403595
1775570273400,1.0,0.0,3652.211669921875,166.09912109375,0.017639027908444405
1775570273420,1.0,0.0,3653.04248046875,166.2589569091797,0.017871685326099396
1775570273440,1.0,0.0,3653.8740234375,166.38233947753906,0.018143998458981514
1775570273460,1.0,0.0,3654.8447265625,166.53414916992188,0.018376963213086128
1775570273480,1.0,0.0,3655.954833984375,166.70684814453125,0.0186883807182312
