timestamp_ms,gas,brake,distanceTraveled,speedKmh,normalizedCarPosition,steerAngle,tyreCompound,wheelsPressureFL,wheelsPressureFR,wheelsPressureRL,wheelsPressureRR,tyreTempFL,tyreTempFR,tyreTempRL,tyreTempRR,tyreWearFL,tyreWearFR,tyreWearRL,tyreWearRR,wheelLoadFL,wheelLoadFR,wheelLoadRL,wheelLoadRR
1776175690274,0.0,1.0,0.013799114152789116,0.004468003287911415,0.998945951461792,0.0,Semislicks (SM),25.024024963378906,25.023408889770508,25.02919578552246,25.03164291381836,26.15015983581543,26.14630699157715,26.182472229003906,26.197763442993164,100.0,100.0,100.0,100.0,3800.735595703125,3951.27734375,3853.44775390625,3832.3310546875
1776175690293,0.0,1.0,0.013802928850054741,0.00390754034742713,0.998945951461792,0.0,Semislicks (SM),25.024036407470703,25.023420333862305,25.029212951660156,25.03165626525879,26.15022850036621,26.14637565612793,26.182575225830078,26.19785499572754,100.0,100.0,100.0,100.0,3800.5361328125,3951.503662109375,3853.185546875,3831.501708984375
1776175690313,0.0,1.0,0.01380435936152935,0.005161913577467203,0.998945951461792,0.0,Semislicks (SM),25.024049758911133,25.023433685302734,25.029232025146484,25.031673431396484,26.15030860900879,26.146455764770508,26.182695388793945,26.197961807250977,100.0,100.0,100.0,100.0,3800.654296875,3954.5380859375,3853.260009765625,3828.669189453125
1776175690333,0.0,1.0,0.01380578987300396,0.004947364795953035,0.998945951461792,0.0,Semislicks (SM),25.024063110351562,25.02344512939453,25.029251098632812,25.03169059753418,26.150388717651367,26.146535873413086,26.182815551757812,26.198068618774414,100.0,100.0,100.0,100.0,3800.54345703125,3955.24072265625,3853.6318359375,3829.863525390625
1776175690353,0.0,1.0,0.013808650895953178,0.004553415812551975,0.998945951461792,0.0,Semislicks (SM),25.024072647094727,25.023456573486328,25.029266357421875,25.031705856323242,26.15045738220215,26.146604537963867,26.182918548583984,26.19816017150879,100.0,100.0,100.0,100.0,3800.59912109375,3953.3154296875,3853.656005859375,3832.578369140625
1776175690373,0.0,1.0,0.013812942430377007,0.0041124895215034485,0.9989454746246338,0.0,Semislicks (SM),25.024085998535156,25.023469924926758,25.029285430908203,25.031723022460938,26.150537490844727,26.146684646606445,26.18303871154785,26.198266983032227,100.0,100.0,100.0,100.0,3800.68994140625,3953.00439453125,3853.81884765625,3836.603515625
1776175690393,0.0,1.0,0.013816280290484428,0.005220375023782253,0.9989454746246338,0.0,Semislicks (SM),25.024099349975586,25.023483276367188,25.02930450439453,25.031740188598633,26.150617599487305,26.146764755249023,26.18315887451172,26.198373794555664,100.0,100.0,100.0,100.0,3800.44677734375,3953.299072265625,3853.451416015625,3835.148681640625
1776175690413,0.0,1.0,0.013818664476275444,0.006348413415253162,0.998945951461792,0.0,Semislicks (SM),25.02410888671875,25.02349281311035,25.029321670532227,25.031753540039062,26.150686264038086,26.146833419799805,26.18326187133789,26.19846534729004,100.0,100.0,100.0,100.0,3800.45458984375,3953.314453125,3853.740966796875,3833.185791015625
1776175690434,0.0,1.0,0.013822002336382866,0.004112731199711561,0.9989454746246338,0.0,Semislicks (SM),25.02412223815918,25.02350616455078,25.029340744018555,25.031770706176758,26.150766372680664,26.146913528442383,26.183382034301758,26.198572158813477,100.0,100.0,100.0,100.0,3800.6787109375,3954.365478515625,3853.322021484375,3830.8759765625
1776175690453,0.0,1.0,0.013823432847857475,0.004477799870073795,0.998945951461792,0.0,Semislicks (SM),25.02413558959961,25.02351951599121,25.029359817504883,25.031787872314453,26.150846481323242,26.14699363708496,26.183502197265625,26.198678970336914,100.0,100.0,100.0,100.0,3800.72802734375,3954.39013671875,3853.207275390625,3831.259521484375
1776175690473,0.0,1.0,0.0138272475451231,0.011361656710505486,0.998945951461792,0.0,Semislicks (SM),25.024147033691406,25.023529052734375,25.029376983642578,25.031803131103516,26.150915145874023,26.147062301635742,26.183605194091797,26.19877052307129,100.0,100.0,100.0,100.0,3800.480712890625,3955.41015625,3853.52197265625,3830.494140625
1776175690493,0.0,1.0,0.013831539079546928,0.0037945692893117666,0.998945951461792,0.0,Semislicks (SM),25.024158477783203,25.023542404174805,25.029396057128906,25.03182029724121,26.1509952545166,26.14714241027832,26.183725357055664,26.198877334594727,100.0,100.0,100.0,100.0,3800.596923828125,3954.329833984375,3853.5302734375,3831.550048828125
1776175690513,0.0,1.0,0.013831539079546928,0.004118533339351416,0.998945951461792,0.0,Semislicks (SM),25.024171829223633,25.023555755615234,25.029415130615234,25.031837463378906,26.15107536315918,26.1472225189209,26.18384552001953,26.198984146118164,100.0,100.0,100.0,100.0,3800.53466796875,3954.05126953125,3853.55322265625,3830.360107421875
1776175690534,0.0,1.0,0.013834400102496147,0.00426750723272562,0.998945951461792,0.0,Semislicks (SM),25.02418327331543,25.02356719970703,25.02943229675293,25.03185272216797,26.15114402770996,26.14729118347168,26.183948516845703,26.19907569885254,100.0,100.0,100.0,100.0,3800.558837890625,3953.313720703125,3853.41455078125,3827.775390625
1776175690553,0.0,1.0,0.013836784288287163,0.0072537558153271675,0.9989454746246338,0.0,Semislicks (SM),25.02419662475586,25.023578643798828,25.029451370239258,25.031869888305664,26.15122413635254,26.147371292114258,26.18406867980957,26.199182510375977,100.0,100.0,100.0,100.0,3800.557373046875,3953.368408203125,3853.29638671875,3828.35546875
1776175690573,0.0,1.0,0.013842983171343803,0.004226094577461481,0.998945951461792,0.0,Semislicks (SM),25.024208068847656,25.023591995239258,25.029470443725586,25.03188705444336,26.151304244995117,26.147451400756836,26.184188842773438,26.199289321899414,100.0,100.0,100.0,100.0,3800.6171875,3952.6435546875,3853.61083984375,3830.407958984375
1776175690593,0.0,1.0,0.01384393684566021,0.0043619247153401375,0.998945951461792,0.0,Semislicks (SM),25.024219512939453,25.023603439331055,25.02948760986328,25.03190040588379,26.1513729095459,26.147520065307617,26.18429183959961,26.19938087463379,100.0,100.0,100.0,100.0,3800.5498046875,3952.5322265625,3853.2919921875,3827.692138671875
1776175690613,0.0,1.0,0.013847274705767632,0.006251229904592037,0.998945951461792,0.0,Semislicks (SM),25.024232864379883,25.023616790771484,25.02950668334961,25.031917572021484,26.151453018188477,26.147600173950195,26.184412002563477,26.199487686157227,100.0,100.0,100.0,100.0,3800.57666015625,3954.97412109375,3853.574462890625,3828.982421875
1776175690633,0.0,1.0,0.013848228380084038,0.00386643479578197,0.998945951461792,0.0,Semislicks (SM),25.024246215820312,25.02362823486328,25.029525756835938,25.03193473815918,26.151533126831055,26.147680282592773,26.184532165527344,26.199594497680664,100.0,100.0,100.0,100.0,3799.740966796875,3955.250244140625,3853.839111328125,3831.4638671875
1776175690653,0.0,1.0,0.013850612565875053,0.00387012236751616,0.998945951461792,0.0,Semislicks (SM),25.024255752563477,25.023639678955078,25.029541015625,25.031949996948242,26.151601791381836,26.147748947143555,26.184635162353516,26.19968605041504,100.0,100.0,100.0,100.0,3799.7919921875,3955.079345703125,3853.688720703125,3833.48681640625
1776175690673,0.0,1.0,0.013854427263140678,0.005389009136706591,0.998945951461792,0.0,Semislicks (SM),25.024269104003906,25.023653030395508,25.029560089111328,25.031967163085938,26.151681900024414,26.147829055786133,26.184755325317383,26.199792861938477,100.0,100.0,100.0,100.0,3800.735107421875,3953.3583984375,3853.908935546875,3831.05908203125
1776175690693,0.0,1.0,0.013857288286089897,0.003703505266457796,0.9989454746246338,0.0,Semislicks (SM),25.024282455444336,25.023666381835938,25.029579162597656,25.031984329223633,26.151762008666992,26.14790916442871,26.18487548828125,26.199899673461914,100.0,100.0,100.0,100.0,3800.66259765625,3953.2568359375,3853.483642578125,3831.549560546875
1776175690713,0.0,1.0,0.013858241960406303,0.0037749793846160173,0.998945951461792,0.0,Semislicks (SM),25.0242919921875,25.0236759185791,25.02959632873535,25.031997680664062,26.151830673217773,26.147977828979492,26.184978485107422,26.19999122619629,100.0,100.0,100.0,100.0,3800.5244140625,3953.363037109375,3853.37109375,3834.829833984375
1776175690733,0.0,1.0,0.013863487169146538,0.004007254261523485,0.998945951461792,0.0,Semislicks (SM),25.02430534362793,25.02368927001953,25.02961540222168,25.032014846801758,26.15191078186035,26.14805793762207,26.18509864807129,26.200098037719727,100.0,100.0,100.0,100.0,3800.594482421875,3953.583984375,3853.251220703125,3836.580810546875
1776175690753,0.0,1.0,0.013864440843462944,0.004573736805468798,0.998945951461792,0.0,Semislicks (SM),25.02431869506836,25.02370262145996,25.029634475708008,25.032032012939453,26.15199089050293,26.14813804626465,26.185218811035156,26.200204849243164,100.0,100.0,100.0,100.0,3800.615234375,3955.8125,3853.527587890625,3834.197021484375
