timestamp_ms,gas,brake,distanceTraveled,speedKmh,normalizedCarPosition
1776176036054,1.0,0.0,10682.0166015625,158.5931396484375,0.0009262565872631967
1776176036073,1.0,0.0,10682.6767578125,158.768798828125,0.0011481803376227617
1776176036093,1.0,0.0,10683.4697265625,158.93087768554688,0.0013337014243006706
1776176036114,1.0,0.0,10684.9248046875,159.08547973632812,0.0017796197207644582
1776176036133,1.0,0.0,10685.7197265625,159.2146453857422,0.0019647241570055485
1776176036153,1.0,0.0,10686.3828125,159.39010620117188,0.0021880795247852802
1776176036174,1.0,0.0,10687.1796875,159.5846710205078,0.0023738089948892593
1776176036194,1.0,0.0,10687.84375,159.76751708984375,0.002597749698907137
1776176036213,1.0,0.0,10689.3076171875,159.9042510986328,0.0030083688907325268
1776176036233,1.0,0.0,10690.1064453125,160.06787109375,0.0031947337556630373
1776176036255,1.0,0.0,10690.7734375,160.24484252929688,0.0034195377957075834
1776176036275,1.0,0.0,10691.57421875,160.39599609375,0.00360616622492671
1776176036293,1.0,0.0,10692.2421875,160.5703887939453,0.003830920672044158
1776176036313,1.0,0.0,10693.8466796875,160.72190856933594,0.004244006704539061
1776176036336,1.0,0.0,10694.5166015625,160.9051971435547,0.004468919709324837
1776176036355,1.0,0.0,10695.3203125,161.05624389648438,0.00465705431997776
1776176036378,1.0,0.0,10695.9912109375,161.25567626953125,0.004882508888840675
1776176036394,1.0,0.0,10696.796875,161.3724365234375,0.005070812534540892
1776176036417,1.0,0.0,10698.275390625,161.56773376464844,0.005523642525076866
1776176036434,1.0,0.0,10699.0830078125,161.708251953125,0.005712376441806555
1776176036454,1.0,0.0,10699.7568359375,161.85162353515625,0.005939004942774773
1776176036474,1.0,0.0,10700.5654296875,162.01258850097656,0.006128004286438227
1776176036494,1.0,0.0,10701.240234375,162.15493774414062,0.006354955490678549
1776176036513,1.0,0.0,10702.7265625,162.32687377929688,0.006772353779524565
1776176036534,1.0,0.0,10703.5380859375,162.4962921142578,0.006961500272154808
1776176036555,1.0,0.0,10704.21484375,162.664306640625,0.007189152762293816
1776176036574,1.0,0.0,10705.02734375,162.80819702148438,0.007417378481477499
1776176036594,1.0,0.0,10705.8408203125,162.97645568847656,0.0076069217175245285
1776176036613,1.0,0.0,10707.333984375,163.11929321289062,0.008026542142033577
1776176036633,1.0,0.0,10708.013671875,163.278564453125,0.008255827240645885
1776176036653,1.0,0.0,10708.830078125,163.42422485351562,0.00844592321664095
1776176036673,1.0,0.0,10709.5107421875,163.56419372558594,0.008675512857735157
1776176036693,1.0,0.0,10710.328125,163.72694396972656,0.008866691961884499
1776176036713,1.0,0.0,10711.828125,163.89633178710938,0.009325830265879631
1776176036733,1.0,0.0,10712.6474609375,164.04153442382812,0.009517000988125801
1776176036753,1.0,0.0,10713.3310546875,164.20663452148438,0.009747376665472984
1776176036773,1.0,0.0,10714.1513671875,164.37754821777344,0.009967543184757233
1776176036793,1.0,0.0,10714.8359375,164.52198791503906,0.010211578570306301
1776176036813,1.0,0.0,10716.34375,164.6747283935547,0.010265299119055271
1776176036833,1.0,0.0,10717.1669921875,164.832275390625,0.010802334174513817
1776176036853,1.0,0.0,10717.853515625,164.9796600341797,0.011000685393810272
1776176036873,1.0,0.0,10718.677734375,165.15090942382812,0.011576107703149319
1776176036893,1.0,0.0,10719.5029296875,165.30587768554688,0.011576107703149319
1776176036913,1.0,0.0,10721.017578125,165.44908142089844,0.011814613826572895
1776176036933,1.0,0.0,10721.70703125,165.60470581054688,0.012094760313630104
1776176036953,1.0,0.0,10722.53515625,165.7653350830078,0.012287831865251064
